"","Precinct","RegisteredVoters","BallotsCast","Turnout","Bill Schuette / Lisa Posthumus Lyons (REP)","Gretchen Whitmer / Garlin D. Gilchrist II (DEM)
","Bill Gelineau / Angelique Chaiser Thomas (LIB)","Todd Schleiger / Earl P. Lackie (UST)","Jennifer V. Kurland / Charin H. Davenport (GRN)","Keith Butkovich / Raymond Warner (NLP)","Mary Treder Lang (REP)","Jocelyn Benson (DEM)","Gregory Scott Stempfle (LIB)","Robert Gale (UST)","Tom Leonard (REP)","Dana Nessel (DEM)","Lisa Lane Gioia (LIB)","Gerald T. Van Sickle (UST)","Chris Graveline (NPA)","John James (REP)","Debbie Stabenow (DEM)","George E. Huffman III (UST)","Marcia Squier (GRN)","John Howard Wilhelm (NLP)","Bill Huizenga (REP)","Rob Davidson (DEM)","Ronald E. Graeser (UST)","Justin Amash (REP)","Cathy Albro (DEM)","Ted Gerrard (UST)","Aric Nesbitt (REP)","Garnet Lewis (DEM)","Erwin Haas (LIB)","Robert M. Alway (GRN)","Peter MacGregor (REP)","Craig Beach (DEM)","Nathan Hewer (LIB)","Chris Afendoulis (REP)","Winnie Brinks (DEM)","Robert VanNoller (LIB)","Louis Palus (WCP)","Steven Johnson (REP)","Ron Draayer (DEM)","Jamie Lewis (LIB)","Lynn Afendoulis (REP)","Bill Saxton (DEM)","Mark E. Huizenga (REP)","Meagan L. Carr (DEM)","Daniel Allen Schutte (REP)","David LaGrand (DEM)","Jacob Straley (GRN)","Amanda Brand (REP)","Rachel Hood (DEM)","Tommy Brann (REP)","Dana Knight (DEM)","Patty Malowney (LIB)","Brandon Hoezee (UST)","Thomas A. Albert (REP)","Lauren Taylor (DEM)","Sue Norman (NPA)","Tami Carlone (REP)","Richard Zeile (REP)","Judith P. Pritchett (DEM)","Tiffany Tilley (DEM)","Scotty Boman (LIB)","John J. Tatar (LIB)","Karen Adams (UST)","Douglas Levesque (UST)","Sherry A. Wells (GRN)","Mary Anne Hering (WCP)","Logan R. Smith (WCP)","AndreaFischer
          Newman  (REP)
","Andrew
          Richner (REP)
","Jordan
          Acker (DEM)
","Paul
          Brown (DEM)
","JamesLewis
          Hudler (LIB)
","John
          Jascob (LIB)
","Joe
          Sanger (UST)
","CrystalVan
          Sickle (UST)
","KevinA.
          Graves (GRN)
","MargeKatchmark
          Sallows (NLP)
","Dave
            Dutch (REP)
","Mike
            Miller (REP)
","BriannaT.
            Scott (DEM)
","KellyCharron
            Tebay  (DEM)
","Bruce
            Campbell  (LIB)
","Tim
            Orzechowski  (LIB)
","JanetM.
            Sanger  (UST)
","JohnPaul
            Sanger  (UST)
","Aaron
            Mariasy  (GRN)
","BridgetteR.
            Abraham-Guzman (NLP)
","Diane
           Dunaskiss (REP)
","David
           Nicholson (REP)
","BryanC.
           Barnhill (DEM)
","Anil
           Kumar (DEM)
","Jon
           Elgas  (LIB)
","JohnT.
           Hargenrader  (LIB)
","ChristineC.
           Schwartz (UST)
","MarcJoseph
           Sosnowski  (UST)
","TheodoreVonk  (REP)","DeborahHavens  (DEM)","EmilyPostBrieve  (REP)","JimSaalfeld  (REP)","AugustTreu  (DEM)","JillMartinez  (REP)","MonicaSparks  (DEM)","CharlotteAikens  (GRN)","JessicaAnnTyson  (REP)","BetsyMelton   (DEM)","KyleBrethauer  (REP)","CarolM.Hennessy  (DEM)","JoelHerbertTownsend  (REP)","JimTalen  (DEM)","JennaVandeKamp  (REP)","DavidBulkowski  (DEM)","CourtneyPanter  (REP)","RobertWomack  (DEM)","DanKoorndyk  (REP)","StephenWooden  (DEM)","LaurelAbraham  (REP)","PhilSkaggs  (DEM)","ThomasAntor  (REP)","JeremiahAnway  (DEM)","RogerC.Morgan  (REP)","DianeJones  (REP)","KariSmith  (DEM)","MandyBolter  (REP)","NevilleJ.Mark  (DEM)","StanStek  (REP)","PamDeGryse  (DEM)","StanPonstein  (REP)","MikeJohnson  (DEM)","HaroldVoorhees  (REP)","MattKallman  (REP)","BobSmith  (DEM)"
"1","Ada Township Precinct 1",1184,871,"73%",442,399,12,2,2,1,439,396,13,6,481,335,12,3,15,465,389,3,4,2,NA,NA,NA,482,344,20,NA,NA,NA,NA,NA,NA,NA,472,354,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,442,367,20,395,377,325,304,32,23,10,2,8,8,8,412,375,291,273,20,15,5,16,15,11,381,386,311,287,26,21,5,6,8,8,388,357,286,271,24,24,12,6,NA,NA,NA,454,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Ada Township Precinct 2",2221,1588,"71%",809,731,22,6,5,1,809,709,22,4,840,641,22,3,24,856,706,4,6,1,NA,NA,NA,907,615,21,NA,NA,NA,NA,NA,NA,NA,871,650,23,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,824,635,49,710,667,603,574,56,36,8,6,20,26,15,699,659,540,520,39,42,13,33,29,16,684,672,577,534,43,26,15,7,14,4,693,618,515,477,49,32,26,11,NA,NA,NA,827,604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Ada Township Precinct 3",1308,942,"72%",525,386,16,3,2,1,530,366,17,6,539,348,17,2,3,558,367,1,5,1,NA,NA,NA,554,341,24,NA,NA,NA,NA,NA,NA,NA,535,357,17,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,517,356,26,492,472,316,278,44,21,7,4,9,6,4,498,462,290,259,29,32,9,11,9,10,472,473,292,282,28,23,10,8,7,8,481,453,267,263,34,26,17,3,NA,NA,NA,534,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Ada Township Precinct 4",1038,785,"75%",499,265,6,2,3,0,494,262,11,4,515,226,15,1,8,502,267,0,7,0,NA,NA,NA,501,258,6,NA,NA,NA,NA,NA,NA,NA,507,243,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,499,238,12,457,430,222,201,22,13,6,4,9,9,7,449,420,191,184,18,10,7,10,14,5,418,431,204,188,15,19,4,4,14,2,436,398,186,183,13,12,9,6,NA,NA,NA,483,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Ada Township Precinct 5",1910,1374,"71%",818,502,32,4,9,0,848,468,28,6,844,440,35,6,14,874,469,6,9,3,NA,NA,NA,901,429,18,NA,NA,NA,NA,NA,NA,NA,870,438,26,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,839,439,34,777,718,395,380,45,30,17,8,16,23,12,752,717,368,330,31,34,17,25,21,17,727,733,398,367,35,33,15,11,11,11,740,703,352,339,41,29,26,8,NA,NA,NA,838,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Ada Township Precinct 6",892,612,"68%",295,293,10,2,4,0,308,271,16,0,308,258,16,1,5,315,282,3,5,1,NA,NA,NA,332,254,6,NA,NA,NA,NA,NA,NA,NA,323,256,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298,264,14,278,267,226,221,24,15,8,1,13,8,3,275,253,206,197,18,14,3,9,11,9,269,264,229,202,17,13,4,4,11,1,264,250,197,195,15,12,8,2,NA,NA,NA,306,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Ada Township Precinct 7",1078,793,"73%",394,376,12,0,7,0,396,368,15,1,411,326,18,4,16,419,363,0,3,3,NA,NA,NA,441,325,8,NA,NA,NA,NA,NA,NA,NA,436,320,13,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,330,30,368,357,305,284,24,24,11,3,14,10,3,365,349,266,251,19,25,7,16,12,16,343,348,294,259,20,20,9,5,20,15,355,334,265,246,29,18,17,4,NA,NA,NA,403,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Ada Township Precinct 8",1120,816,"72%",439,357,11,1,2,0,439,343,16,2,456,308,15,3,7,451,351,1,4,2,NA,NA,NA,472,316,16,NA,NA,NA,NA,NA,NA,NA,451,327,11,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435,325,15,403,364,293,272,25,18,9,6,10,15,14,403,363,261,255,20,21,4,12,12,14,371,380,272,260,21,18,15,7,10,13,389,363,253,253,26,18,18,9,NA,NA,NA,444,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Algoma Township Precinct 1",1246,830,"66%",513,277,20,5,4,1,516,255,19,17,534,220,18,11,19,545,254,8,8,3,NA,NA,NA,559,215,28,NA,NA,NA,NA,542,226,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,545,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439,399,210,201,26,26,11,9,11,38,29,426,398,193,174,16,18,22,39,16,8,421,400,201,187,25,19,24,21,9,12,426,386,191,171,21,20,43,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,545,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Algoma Township Precinct 2",1512,1078,"71%",659,372,14,6,11,2,681,344,17,13,698,295,18,10,13,696,347,8,12,7,NA,NA,NA,730,288,21,NA,NA,NA,NA,689,319,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,695,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,607,579,274,257,26,15,8,4,13,29,21,591,569,241,236,16,20,8,23,17,18,577,574,255,227,26,18,20,12,7,14,584,553,239,213,28,17,28,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,705,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Algoma Township Precinct 3",1597,1108,"69%",695,360,23,10,5,0,687,365,21,14,715,299,20,15,19,698,367,6,11,5,NA,NA,NA,760,284,27,NA,NA,NA,NA,721,308,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,746,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,602,559,269,277,40,30,13,14,13,28,24,584,563,259,238,29,27,22,19,18,17,593,560,277,244,28,20,20,15,14,16,577,548,262,229,27,23,35,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,708,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Algoma Township Precinct 4",1731,1092,"63%",587,441,31,8,5,3,585,423,37,15,596,381,33,13,20,615,432,10,11,5,NA,NA,NA,624,390,37,NA,NA,NA,NA,599,418,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,615,407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519,488,353,346,44,39,15,7,19,36,21,514,476,314,308,41,38,17,24,15,12,488,473,338,311,40,37,17,9,20,15,487,456,314,296,47,40,26,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,609,366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Algoma Township Precinct 5",2098,1452,"69%",795,611,19,6,3,1,795,559,31,12,809,495,27,11,25,824,578,5,15,3,NA,NA,NA,888,480,26,NA,NA,NA,NA,802,547,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,836,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,725,680,472,429,48,40,16,7,25,25,19,700,668,407,384,32,28,19,23,24,16,693,666,427,401,32,25,25,18,12,10,680,636,390,383,34,22,26,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,782,454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Alpine Township Precinct 1",1052,688,"65%",415,244,11,3,4,1,399,253,15,5,413,208,19,3,13,382,281,3,10,2,NA,NA,NA,423,224,18,NA,NA,NA,NA,407,220,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,414,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,324,206,182,18,18,13,8,5,20,9,333,304,193,188,14,11,9,16,6,8,308,314,203,177,21,14,15,5,8,9,316,314,186,165,20,13,18,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,416,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Alpine Township Precinct 2",1344,835,"62%",351,439,17,11,7,1,351,425,29,9,368,374,28,7,18,389,409,7,10,5,NA,NA,NA,391,392,25,NA,NA,NA,NA,372,396,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316,276,342,335,36,24,16,10,12,25,20,320,286,331,326,29,26,12,23,6,10,288,295,351,315,33,22,19,10,8,8,307,278,325,289,35,22,32,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Alpine Township Precinct 3",2208,1494,"67%",697,727,21,14,15,0,702,699,36,20,749,607,38,12,36,729,709,13,21,1,NA,NA,NA,819,597,33,NA,NA,NA,NA,749,629,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,760,635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,629,573,586,552,52,37,20,18,13,46,26,628,566,544,511,37,33,25,50,28,26,584,592,571,523,33,33,44,28,20,20,602,542,541,493,50,30,67,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,768,581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Alpine Township Precinct 4",2164,1175,"54%",637,473,18,5,19,2,620,484,21,9,653,423,30,9,18,649,476,7,17,3,NA,NA,NA,690,424,23,NA,NA,NA,NA,646,432,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,664,454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,556,494,357,358,28,24,21,6,21,45,24,527,509,367,348,21,19,13,30,15,11,505,508,386,344,23,24,22,11,13,14,537,489,364,323,22,16,39,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,668,395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Alpine Township Precinct 5",1013,694,"68%",408,261,9,3,2,5,409,240,22,11,430,218,13,7,9,419,251,5,8,2,NA,NA,NA,443,215,19,NA,NA,NA,NA,426,224,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,433,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,361,330,198,187,16,11,14,5,6,31,18,365,329,179,163,13,14,11,29,10,11,330,348,190,174,16,14,24,19,6,8,352,319,181,163,17,9,29,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,445,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Alpine Township Precinct 6",1936,672,"34%",152,463,18,6,19,1,148,456,33,13,145,430,39,6,16,161,446,8,28,7,NA,NA,NA,180,430,30,NA,NA,NA,NA,155,436,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,117,363,354,27,25,16,5,17,35,25,140,116,372,331,22,16,13,24,18,9,118,130,382,328,24,16,15,9,19,13,136,116,355,335,32,19,33,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Bowne Township Precinct 1",2363,1677,"70%",1193,429,20,10,6,3,1188,410,28,14,1217,351,32,13,12,1193,427,10,14,7,NA,NA,NA,1225,368,46,NA,NA,NA,NA,NA,NA,NA,1179,380,35,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1189,364,44,1032,962,318,301,46,31,27,13,15,42,42,998,953,293,275,34,29,33,44,24,17,985,957,326,282,37,22,30,27,16,17,993,943,274,269,39,29,42,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1165,340,NA,NA,NA,NA,NA,NA,NA
"21","Byron Township Precinct 1",2421,1747,"72%",1264,414,31,7,10,3,1269,387,40,17,1293,325,41,16,21,1311,389,11,14,9,NA,NA,NA,1329,323,51,NA,NA,NA,NA,1311,326,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1383,266,30,12,NA,NA,NA,1172,1091,303,297,57,37,22,12,17,44,28,1125,1096,270,262,40,30,24,37,19,23,1088,1090,296,263,47,36,25,20,18,22,1110,1030,292,241,42,42,44,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1250,332
"22","Byron Township Precinct 2",2599,1956,"75%",1319,581,18,6,3,3,1330,546,27,10,1363,453,24,13,32,1353,559,9,8,1,NA,NA,NA,1444,426,26,NA,NA,NA,NA,1362,472,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1448,397,24,10,NA,NA,NA,1241,1163,449,416,47,30,16,6,10,21,24,1201,1162,404,387,40,41,15,32,18,16,1164,1169,420,381,54,43,29,18,17,18,1201,1130,390,352,45,34,34,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1301,459
"23","Byron Township Precinct 3",2685,1108,"41%",488,540,30,9,14,6,485,535,30,28,495,488,34,20,22,528,508,8,26,11,NA,NA,NA,517,501,38,NA,NA,NA,NA,511,495,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,546,461,30,17,NA,NA,NA,449,411,381,396,35,18,20,12,21,44,28,441,409,395,364,17,26,22,27,29,23,419,415,422,346,32,13,27,21,22,22,444,403,394,360,31,22,52,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,502,498
"24","Byron Township Precinct 4",2009,1514,"75%",1161,317,19,4,3,3,1141,321,23,14,1174,260,25,11,15,1147,339,10,6,3,44,4,1,1152,256,27,NA,NA,NA,NA,1164,271,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1213,227,23,3,NA,NA,NA,1049,1013,259,235,39,29,11,7,11,18,16,1013,1002,233,211,32,26,22,25,11,9,984,993,245,232,32,22,22,15,9,12,1004,957,224,203,36,22,30,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1132,257
"25","Byron Township Precinct 5",2372,1731,"72%",1299,391,21,3,7,0,1295,365,29,8,1326,303,29,7,16,1324,374,4,10,1,NA,NA,NA,1362,298,27,NA,NA,NA,NA,1320,304,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1390,241,29,11,NA,NA,NA,1199,1095,287,273,38,35,14,14,12,35,21,1160,1110,259,237,36,30,11,23,7,16,1133,1129,262,243,44,33,16,7,6,14,1154,1061,254,217,41,35,32,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1286,300
"26","Byron Township Precinct 6",1468,1077,"73%",693,344,18,6,7,1,695,328,24,8,722,274,17,5,22,724,325,6,7,2,NA,NA,NA,761,268,20,NA,NA,NA,NA,725,286,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,779,241,15,6,NA,NA,NA,648,618,256,235,32,20,12,7,10,21,17,622,603,226,212,24,22,11,20,19,14,599,607,243,224,31,24,20,14,9,7,614,581,212,196,34,24,30,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,272
"27","Byron Township Precinct 7",2234,1469,"65%",931,485,27,6,3,0,929,475,28,7,963,403,30,11,18,968,452,11,11,4,NA,NA,NA,1007,390,29,NA,NA,NA,NA,958,402,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1031,335,35,11,NA,NA,NA,838,787,363,338,49,27,16,7,14,41,20,814,789,357,320,37,33,10,35,15,14,788,787,379,330,36,34,23,11,10,9,811,767,343,296,49,24,38,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,924,392
"28","Byron Township Precinct 8",2169,1526,"70%",892,589,17,7,9,1,881,572,29,12,915,504,25,13,24,903,586,6,11,6,NA,NA,NA,942,502,31,NA,NA,NA,NA,911,506,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,979,436,29,11,NA,NA,NA,803,769,463,436,41,31,17,8,25,33,27,816,765,443,403,35,26,16,34,19,18,772,776,469,406,45,28,30,15,13,14,796,740,437,399,43,33,36,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,863,501
"29","Caledonia Township Precinct 1",1133,758,"66%",421,298,10,6,12,2,438,279,15,7,429,260,16,9,17,445,283,3,12,2,NA,NA,NA,474,249,16,NA,NA,NA,NA,NA,NA,NA,428,283,13,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413,271,37,389,360,234,226,25,19,11,3,10,16,9,368,361,227,202,23,18,8,15,11,7,355,363,228,222,25,20,10,9,11,8,359,344,209,206,23,23,17,7,NA,NA,539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Caledonia Township Precinct 2",2162,1486,"68%",973,476,13,8,6,1,967,445,27,9,978,393,27,11,12,1005,439,9,9,2,NA,NA,NA,998,408,33,NA,NA,NA,NA,NA,NA,NA,976,425,18,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,964,384,61,879,795,376,335,35,27,19,9,17,22,18,845,801,341,307,31,22,20,34,21,10,819,804,369,320,29,25,24,14,14,7,837,772,325,307,33,17,42,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,967,364,NA,NA,NA,NA,NA,NA,NA
"31","Caledonia Township Precinct 3",2063,1480,"71%",966,455,28,9,8,3,959,434,37,19,981,375,41,20,24,984,455,13,10,3,NA,NA,NA,1013,393,46,NA,NA,NA,NA,NA,NA,NA,957,434,32,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,977,397,47,855,806,380,350,58,46,30,14,23,35,31,848,795,328,323,61,57,24,43,16,19,812,805,369,328,55,48,36,21,21,17,844,798,333,306,47,52,51,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,980,377,NA,NA,NA,NA,NA,NA,NA
"32","Caledonia Township Precinct 4",1291,953,"73%",659,267,16,2,2,1,639,274,20,5,659,227,22,6,10,660,275,2,6,1,NA,NA,NA,661,250,24,NA,NA,NA,NA,NA,NA,NA,660,244,15,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,635,251,20,582,537,233,220,27,23,8,1,12,19,16,570,531,212,184,27,22,7,22,15,6,535,532,230,207,30,25,14,6,12,8,548,524,208,183,27,23,20,9,NA,NA,690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Caledonia Township Precinct 5",2334,1566,"67%",1029,487,20,8,8,2,1017,494,24,12,1033,429,26,8,25,1052,482,9,10,0,NA,NA,NA,1084,406,33,NA,NA,NA,NA,NA,NA,NA,1031,459,16,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1009,446,41,921,882,416,372,46,22,17,16,19,36,15,894,895,366,349,28,26,17,32,23,14,868,889,393,355,35,30,26,16,12,9,898,839,358,321,33,28,39,22,NA,NA,1196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Caledonia Township Precinct 6",1871,1284,"68%",724,516,22,8,6,3,718,501,18,13,766,411,26,12,17,759,488,2,12,7,NA,NA,NA,791,420,26,NA,NA,NA,NA,NA,NA,NA,739,463,15,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,737,440,44,669,623,405,369,36,33,14,6,21,31,18,651,609,354,337,26,30,17,44,29,15,614,622,400,361,35,26,26,18,13,13,643,592,348,328,28,26,45,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,757,412,NA,NA,NA,NA,NA,NA,NA
